id,user,created_at,text
1048665459007127553,Jamie,Sat Oct 06 20:05:03 +0000 2018,Well I definitely didn’t see that result coming at half time! 🙈 Juan was my MOTM don’t care what anyone else thinks… https://t.co/7WlymJwolL
1048665452271087617,Gem mufc lee-Twigger,Sat Oct 06 20:05:01 +0000 2018,Im so glad @Alexis_Sanchez scored the guy runs and runs. And im hoping this kick starts his season. #mufc
1048665451574779904,Mojo,Sat Oct 06 20:05:01 +0000 2018,Fantastic game of football at Old Trafford this evening. I went from crying tears of pain during the first half to… https://t.co/NYDBZ3GIFI
1048665443043610630,David Mercer,Sat Oct 06 20:04:59 +0000 2018,"After watching Dreamgirls on the west end this afternoon and then seeing United come back from 2-0 to win, I was ha… https://t.co/i5cTEwSQKy"
1048665403260645377,Daniel Danzor,Sat Oct 06 20:04:50 +0000 2018,"#MourinhoOUT or #MourinhoIn ?
I’m always Jose or any manager in. I will always support the manager of Manchester Un… https://t.co/vMpdpaeUdp"
1048665290593226752,Ammad United  🤘😈,Sat Oct 06 20:04:23 +0000 2018,Calm after the storm ⚡️ #MUFC https://t.co/9lcKrrgr0G
1048665251028393985,Hannan,Sat Oct 06 20:04:13 +0000 2018,"3). Sanchez should be tried as striker. He has that clever movement in the box like Hernandez.
4).Rojo (whenever fi… https://t.co/wzaQP5LpLd"
1048665248176033792,Syms Mohamed,Sat Oct 06 20:04:13 +0000 2018,"Idiots with the blue tick like these. Had we lost the game, the L would be on Jose and him alone. The win belongs t… https://t.co/pSDD5nCxE0"
1048665246938910722,Luke Edwards,Sat Oct 06 20:04:12 +0000 2018,He looked broken at half time but emerged looking stronger than he has done for months #mufc https://t.co/TfiqfDV8yT
1048665209097932802,Wade,Sat Oct 06 20:04:03 +0000 2018,"@ManUtd ""Paper over the Cracks"" #NEWMUN #MUFC"
1048665208359665664,Domenico Brunetti,Sat Oct 06 20:04:03 +0000 2018,"Please please please! 🙏🏻
No job too big for Big Sam!
🍷 
#bbcmotd #mufc #BigSam #PintofWine https://t.co/lzm3FQkJrT"
1048665202500296704,Danny birkin,Sat Oct 06 20:04:02 +0000 2018,Why cant we start a game as we finished as we did today were at home and i dont care what people think but as the h… https://t.co/ZLJZyoJxw0
1048665186343833601,#Ezra Chilobae😘,Sat Oct 06 20:03:58 +0000 2018,"#MUFC 
Congratulations to @Alexis_Sanchez 
Although my I loosed my bet
Am happy that my favourite player ever score… https://t.co/e0oeDUa9dP"
1048665173345619970,KloppTheLollyPop,Sat Oct 06 20:03:55 +0000 2018,"#Premierleague #LFC #MUFC #MCFC #AFC #THFC #CFC 
Top ten biggest English clubs of all time (on my opinion)
1. Liver… https://t.co/wW3oxFvjdX"
1048665157369454592,Manchester United Pune,Sat Oct 06 20:03:51 +0000 2018,"With 73% possession 😲, I don't remember when we had such domination in the game #MUFC #MUNNEW #United"
1048665140781113345,Daily Record Sport,Sat Oct 06 20:03:47 +0000 2018,"'If it rains in London it's my fault' 👀
Jose Mourinho hits back as Manchester United clinch dramatic win #MUFC… https://t.co/2nCA1B3fl8"
1048665127418060801,Sumo MUFC,Sat Oct 06 20:03:44 +0000 2018,#MUFC registered their 7th premier league win from being 2-0 or more down. 4 more recoveries than any other team from that position. #ggmu
1048665122376433664,Man United News,Sat Oct 06 20:03:43 +0000 2018,"It inspired the team to victory #mufc 
https://t.co/RY0uOATIH7"
1048665118341582849,Smith,Sat Oct 06 20:03:42 +0000 2018,https://t.co/yEzDv43h6C #mufc need to be looking at this kid #lozano
1048665086737436679,Dave,Sat Oct 06 20:03:34 +0000 2018,#MUFC should start every game 2 goals down to see a bit of attacking intent and probably better results
1048665086213214208,Red Rose 🌹,Sat Oct 06 20:03:34 +0000 2018,That's the news I was anxiously waiting for. José go nowhere. He stays. #MUFC https://t.co/Y0x0axXYdj
